,ds,y,unique_id
0,2023-06-01,352.010009765625,1
1,2023-06-02,354.6499938964844,1
2,2023-06-05,354.8999938964844,1
3,2023-06-06,354.8399963378906,1
4,2023-06-07,348.82000732421875,1
5,2023-06-08,353.1499938964844,1
6,2023-06-09,354.5,1
7,2023-06-12,360.489990234375,1
8,2023-06-13,363.260009765625,1
9,2023-06-14,365.8999938964844,1
10,2023-06-15,370.260009765625,1
11,2023-06-16,367.92999267578125,1
12,2023-06-20,366.8999938964844,1
13,2023-06-21,361.8999938964844,1
14,2023-06-22,366.1700134277344,1
15,2023-06-23,362.5400085449219,1
16,2023-06-26,357.67999267578125,1
17,2023-06-27,363.8299865722656,1
18,2023-06-28,364.5400085449219,1
19,2023-06-29,363.80999755859375,1
20,2023-06-30,369.4200134277344,1
21,2023-07-03,370.2900085449219,1
22,2023-07-05,370.2799987792969,1
23,2023-07-06,367.4599914550781,1
24,2023-07-07,366.239990234375,1
25,2023-07-10,366.3599853515625,1
26,2023-07-11,368.1700134277344,1
27,2023-07-12,372.82000732421875,1
28,2023-07-13,379.1499938964844,1
29,2023-07-14,379.07000732421875,1
30,2023-07-17,382.6099853515625,1
31,2023-07-18,385.739990234375,1
32,2023-07-19,385.6499938964844,1
33,2023-07-20,376.760009765625,1
34,2023-07-21,375.6300048828125,1
35,2023-07-24,376.2300109863281,1
36,2023-07-25,378.7799987792969,1
37,2023-07-26,377.5199890136719,1
38,2023-07-27,376.6199951171875,1
39,2023-07-28,383.4800109863281,1
40,2023-07-31,383.67999267578125,1
41,2023-08-01,382.7900085449219,1
42,2023-08-02,374.3900146484375,1
43,2023-08-03,373.7900085449219,1
44,2023-08-04,372.0400085449219,1
45,2023-08-07,375.19000244140625,1
46,2023-08-08,372.0,1
47,2023-08-09,367.9100036621094,1
48,2023-08-10,368.5899963378906,1
49,2023-08-11,366.239990234375,1
50,2023-08-14,370.3500061035156,1
51,2023-08-15,366.4200134277344,1
52,2023-08-16,362.5400085449219,1
53,2023-08-17,358.5799865722656,1
54,2023-08-18,358.1300048828125,1
55,2023-08-21,363.8999938964844,1
56,2023-08-22,363.3800048828125,1
57,2023-08-23,369.1099853515625,1
58,2023-08-24,361.2200012207031,1
59,2023-08-25,364.0199890136719,1
60,2023-08-28,366.760009765625,1
61,2023-08-29,374.7699890136719,1
62,2023-08-30,376.8599853515625,1
63,2023-08-31,377.989990234375,1
64,2023-09-01,377.5899963378906,1
65,2023-09-05,378.07000732421875,1
66,2023-09-06,374.739990234375,1
67,2023-09-07,372.05999755859375,1
68,2023-09-08,372.5799865722656,1
69,2023-09-11,376.9700012207031,1
70,2023-09-12,372.7900085449219,1
71,2023-09-13,374.2099914550781,1
72,2023-09-14,377.2699890136719,1
73,2023-09-15,370.80999755859375,1
74,2023-09-18,370.6600036621094,1
75,2023-09-19,369.8699951171875,1
76,2023-09-20,364.5400085449219,1
77,2023-09-21,357.8599853515625,1
78,2023-09-22,357.9100036621094,1
79,2023-09-25,359.6099853515625,1
80,2023-09-26,354.2099914550781,1
81,2023-09-27,355.0400085449219,1
82,2023-09-28,358.010009765625,1
83,2023-09-29,358.2699890136719,1
84,2023-10-02,361.260009765625,1
85,2023-10-03,354.9200134277344,1
86,2023-10-04,359.75,1
87,2023-10-05,358.69000244140625,1
88,2023-10-06,364.70001220703125,1
89,2023-10-09,366.55999755859375,1
90,2023-10-10,368.5899963378906,1
91,2023-10-11,371.2200012207031,1
92,2023-10-12,369.92999267578125,1
93,2023-10-13,365.2799987792969,1
94,2023-10-16,369.4100036621094,1
95,2023-10-17,368.20001220703125,1
96,2023-10-18,363.3699951171875,1
97,2023-10-19,359.9700012207031,1
98,2023-10-20,354.6000061035156,1
99,2023-10-23,355.6700134277344,1
100,2023-10-24,359.1300048828125,1
101,2023-10-25,350.3399963378906,1
102,2023-10-26,343.6600036621094,1
103,2023-10-27,345.30999755859375,1
104,2023-10-30,349.20001220703125,1
105,2023-10-31,350.8699951171875,1
106,2023-11-01,356.9599914550781,1
107,2023-11-02,363.44000244140625,1
108,2023-11-03,367.7099914550781,1
109,2023-11-06,369.2099914550781,1
110,2023-11-07,372.70001220703125,1
111,2023-11-08,372.94000244140625,1
112,2023-11-09,370.07000732421875,1
113,2023-11-10,378.3900146484375,1
114,2023-11-13,377.2099914550781,1
115,2023-11-14,385.3299865722656,1
116,2023-11-15,385.6199951171875,1
117,2023-11-16,385.95001220703125,1
118,2023-11-17,386.0400085449219,1
119,2023-11-20,390.739990234375,1
120,2023-11-21,388.4700012207031,1
121,2023-11-22,390.05999755859375,1
122,2023-11-24,389.510009765625,1
123,2023-11-27,389.1700134277344,1
124,2023-11-28,390.19000244140625,1
125,2023-11-29,389.80999755859375,1
126,2023-11-30,388.8299865722656,1
127,2023-12-01,389.94000244140625,1
128,2023-12-04,386.32000732421875,1
129,2023-12-05,387.2900085449219,1
130,2023-12-06,385.04998779296875,1
131,2023-12-07,390.42999267578125,1
132,2023-12-08,392.1700134277344,1
133,2023-12-11,395.5199890136719,1
134,2023-12-12,398.6700134277344,1
135,2023-12-13,403.739990234375,1
136,2023-12-14,403.3900146484375,1
137,2023-12-15,405.3399963378906,1
138,2023-12-18,407.0799865722656,1
139,2023-12-19,409.1600036621094,1
140,2023-12-20,403.0799865722656,1
141,2023-12-21,407.7699890136719,1
142,2023-12-22,408.3800048828125,1
143,2023-12-26,410.8800048828125,1
144,2023-12-27,411.5,1
145,2023-12-28,411.29998779296875,1
146,2023-12-29,409.5199890136719,1
